label,text,text_length
1.0,"understanding oem software  send the love home with an online photo album  absence sharpens love , presence strengthens it .  painting is just another way of keeping a diary .",175
1.0,"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a å£1500 bonus prize, call 09066364589",153
0.0,"re : research dept contact  please contact stinson gibner ( vp ) , vince kaminski ( md of enron research ) or  one their technical staff who did the model development : samer takriti or  chonawee supatgiat . as i mentioned in our meeting , enron research is staffed  with some of the best risk model developers and ebs has engaged them to  develop optimization tools for trading and customer pricing activities . phil  markwart has been our optical engineering expert who helped specify the  requirements for the research group .  ravi .  p . s . for those who don ' t know dan , he is part of the team ( dan please correct  me if i am wrong here ! ) that will be responsible for developing a trading  system for bandwidth trading org . he has also began to look at the  optimization needs of the system .  dan cummings  07 / 10 / 00 09 : 33 am  to : ravi thuraisingham / enron communications @ enron communications  cc :  subject : research dept contact  ravi , who ' s working on the optimization engine you mentioned friday ?  dan",1033
0.0,so there's a ring that comes with the guys costumes. it's there so they can gift their future yowifes. hint hint,112
1.0,"http : / / www . surfbuddies . net  hello ,  i have visited www . surfbuddies . net and noticed that your website is not listed on some search engines . i am sure that through our service the number of people who visit your website will definitely increase . seekercenter is a unique technology that instantly submits your website to over 500 , 000 search engines and directories - - a really low - cost and effective way to advertise your site . for more details please go to seekercenter . net .  give your website maximum exposure today !  looking forward to hearing from you .  best regards ,  vanessa lintner  sales marketing  www . seekercenter . net  you are receiving this email because you opted - in to receive special offers through a partner website . if you feel that you received this email in error or do not wish to receive additional special offers , please enter your email address here and click the button of remove me :",941
0.0,"re : resume  hi , mr . kaminski :  how are you ? i hope you had a wonderful holiday . i just came back from  chicago .  there is an enron on campus interview at cmu scheduled on 12 / 11 . is this  the interview for our class or for mba students ? i am concerned because i  was not selected for this interview , and i would like very much to have a  chance to talk you about what i can do at enron .  frank  - - - - - original message - - - - -  from :  to :  cc :  sent : tuesday , november 21 , 2000 2 : 13 pm  subject : re : resume  >  > frank ,  >  > we are going to interview the students of your class on the campus .  > i may participate in the interviews .  >  > have a very happy thanksgiving .  >  >  > vince  >  >  >  >  >  > "" frank qian "" on 11 / 14 / 2000 12 : 48 : 14 pm  >  > to : "" vince j . kaminski ""  > cc :  > subject : resume  >  >  > dear mr . kaminski :  >  > how are you ? i hope everything goes well for you at work . enron ' s  > recruiting  > at cmu just started . i have submitted my resume through the career  > services .  > the deadline for selecting interviewee is nov . 21 st . i ' d like to assure  > you  > my interest in associate / analyst program at enron .  >  > as you knew , the mscf program is an in - depth training of the mathematics  > employed to financial algorithm and modeling as well as advanced  > statistical  > tools needed to analyze and predict the behavior of financial market .  > through the intensive classroom learning combined with practical projects  > using real - time financial data , i have gained a solid background in  > state - of - art quantitative techniques used in financial industry , such as  > derivative pricing , monte carlo simulation , and var analysis . with my  > programming skills in c + + , s - plus , and java , i ' ll also be able to  implement  > sophisticated financial or trading models into practice .  >  > i am a highly motivated , reliable , and team - oriented person not only have  > quantitative skills , but also have broad knowledge of financial products .  > my  > unique mixture of skill sets will enable me make significant contribution  > to  > enron . my academic research experience and credentials all compose a  > valuable asset to your organization . working at enron will greatly enhance  > my learning experience and future career development . my resume is  attached  > for your review . i wish to be included on your pre - selected interviewee  > list  > and look forward to meet you again .  >  > regards ,  >  > frank qian  > fqian @ andrew . cmu . edu  >  >  > ( see attached file : enron _ resume . doc )  >  >  >",2629
0.0,what happen dear tell me,24
0.0,i've told you everything will stop. just dont let her get dehydrated.,69
0.0,dont gimme that lip caveboy,27
0.0,ìï neva tell me how i noe... i'm not at home in da aft wat...,62
1.0,= ? iso - 8859 - 1 ? q ? automated reply from administrator ? =  vakantie tot 26 juli !,87
1.0,save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactly when you want .  ciails has a iot of advantaqes over viaqra  - the effect iasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with alcohoi ! we ship to any country !  get it right now ! .,437
0.0,hi juan. im coming home on fri hey. of course i expect a welcome party and lots of presents. ill phone u when i get back. loads of love nicky x x x x x x x x x,159
0.0,if you mean the website. yes.,29
0.0,"mid - project review date - enron  enron tiger team :  the enron tiger team mid - project review date has been set for tuesday , feb  20 from 6 : 30 - 8 : 30 pm in shdh 205 . your host will be on campus for the  review .  each of the 3 teams will present at this time followed by q & a .  all students are required to attend . questions , please contact the fap  office .  donna piazze  program director  field application project  the wharton school  univ . of pennsylvania  215 . 573 . 8394 fax 215 . 573 . 5727  fap @ management . wharton . upenn . edu  piazze @ wharton . upenn . edu",587
0.0,boo i'm on my way to my moms. she's making tortilla soup. yummmm,64
0.0,its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,67
1.0,xclusive@clubsaisai 2morow 28/5 soiree speciale zouk with nichols from paris.free roses 2 all ladies !!! info: 07946746291/07880867867,135
1.0,"localized software , all languages available .  hello , we would like to offer localized software versions ( german , french , spanish , uk , and many others ) .  aii iisted software is avaiiable for immediate download !  no need to wait 2 - 3 week for cd delivery !  just few exampies :  - norton internet security pro 2005 - $ 29 . 95  - windows xp professional with sp 2 full version - $ 59 . 95  - corei draw graphics suite 12 - $ 49 . 95  - dreamweaver mx 2004 ( homesite 5 . 5 inciuding ) - $ 39 . 95  - macromedia studio mx 2004 - $ 119 . 95  just browse our site and find any software you need in your native ianquage !  best regards ,  chelsea",653
0.0,u ned to convince him tht its not possible witot hurting his feeling its the main,81
0.0,"haha get used to driving to usf man, i know a lot of stoners",60
0.0,i'm hungry buy smth home...,27
0.0,"no dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs..",204
1.0,ur going 2 bahamas! callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise ofå£2000 cash 18+only. to opt out txt x to 07786200117,159
1.0,"cmon babe, make me horny, *turn* me on! txt me your fantasy now babe -) im hot, sticky and need you now. all replies cost å£1.50. 2 cancel send stop",148
0.0,i am in bus on the way to calicut,33
0.0,dear got train and seat mine lower seat,39
1.0,"brighten those teeth  get your  teeth bright white now !  have you considered professional teeth whitening ? if so , you  know it usually costs between $ 300 and $ 500 from your local  dentist !  visit our site to learn how to  professionally whiten your teeth , using the exact same whitening  system your dentist uses , at a fraction of the cost ! here ' s what you get :  we will show you what to look for in a whitening  system !  we will show you a comparison of all of the products  available today , including their costs !  we know our product is the best on the market , and we back  it with a 30 day money back guarantee !  click here to learn more !  you are receiving this email as an  internet affiliate network member . if you would no longer like to receive  special promotions  via email from internet affiliate network , then click  here to unsubscribe",870
0.0,"re : energy finance conference participation - feb 22 - 23  thank you . we look forward to having you here .  sincerely ,  angela  * * * * * * * * * * * * * *  angela dorsey  assistant director  center for energy finance education shirley . crenshaw @ enron . com ;  vkaminski @ aol . com  subject : re : energy finance conference participation - feb 22 - 23  angela ,  thanks for your message . i shall be glad to attend the conference ,  both days . i shall call dr . ronn to discuss my participation .  vince kaminski  "" angela dorsey "" on 01 / 16 / 2001 12 : 54 : 15 pm  to : "" vincent kaminski ( e - mail ) ""  cc :  subject : energy finance conference participation - feb 22 - 23  vince :  further to dr . ronn ' s e - mail dated 1 / 9 , please confirm your  participation  in the ut 2001 energy finance conference to be held on the university of  texas campus feb . 22 - 23 rd .  sincerely ,  angela  * * * * * * * * * * * * * *  angela dorsey  assistant director  center for energy finance education & research  the university of texas at austin  department of finance , cba 6 . 222  austin , tx 78712  angela . dorsey @ bus . utexas . edu  * * * * * * * * * * * * * *",1175
0.0,"sad story of a man - last week was my b'day. my wife did'nt wish me. my parents forgot n so did my kids . i went to work. even my colleagues did not wish. as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there. she said,'' do u mind if i go into the bedroom for a minute ? '' ''ok'', i sed in a sexy mood. she came out 5 minuts latr wid a cake...n my wife, my parents, my kidz, my friends n my colleagues. all screaming.. surprise !! and i was waiting on the sofa.. ... ..... ' naked...!",588
0.0,"\life is nothing wen v get everything\"". but \""life is everything wen v miss something \"". real value of people wil be realized only in their absence.... gud mrng""",163
0.0,"* was a nice day and, impressively, i was sensible, went home early and now feel fine. or am i just boring?! when's yours, i can't remember.",140
0.0,"mid - year 2000 performance feedback  note : you will receive this message each time you are selected as a reviewer .  you have been selected to participate in the mid - year 2000 performance  management process by providing meaningful feedback on specific employee ( s )  that have been identified for you . your feedback plays an important role in  the performance management process , and your participation is very critical  to the success of enron ' s performance management goals .  please provide feedback on the employee ( s ) listed below by accessing the  performance management system ( pep ) and completing an online feedback form as  described in the "" performance management quick reference guide "" . you may  begin your feedback input immediately . please have all feedback forms  completed by the date noted below .  if you have any questions regarding pep or your responsibility in the  process , please call the pep help desk at the following numbers :  in the u . s . : 1 - 713 - 853 - 4777 , option 4  in europe : 44 - 207 - 783 - 4040 , option 4  in canada : 1 - 403 - 974 - 6724 ( canada employees only )  or e - mail your questions to : perfmgmt @ enron . com  thank you for your participation in this important process .  the following list of employees is a cumulative list of all feedback  requests , by operating company , that have an "" open "" feedback status . an  employee ' s name will no longer appear once you have completed the feedback  form and select the "" submit "" button in pep .  review group : enron  feedback due date : jun 16 , 2000  employee name supervisor name date selected  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  ahmad , anjam dale surbey may 22 , 2000  zipter , rudi c theodore r murphy may 25 , 2000",1793
0.0,ok lor...,9
1.0,"all graphics software available , cheap oem versions .  good morning ,  we we offer latest oem packages of all graphics and publishinq software from corel , macromedia , adobe and others .  $ 80 adobe photoshop 8 . 0 / cs  $ 140 macromedia studio mx 2004  $ 120 adobe acrobat 7 . 0 professional  $ 150 adobe premiere pro 1 . 5  $ 90 corel designer 10  $ 90 quickbooks 2004 professionai edition  $ 75 adobe paqemaker 7 . 0  $ 70 xara x vl . 1  $ 75 adobe audition 1 . 5  $ 90 discreet 3 d studio max 7  $ 115 adobe golive cs  $ 135 adobe after effects 6 . 5 standard  $ 45 adobe premiere elements  $ 125 corel painter ix  $ 80 adobe iilustrator cs  $ 80 adobe lndesiqn cs  $ 240 adobe creative suite  $ 140 adobe framemaker 7 . 1  $ 50 uiead cool 3 d production studio 1 . 0 . 1  $ 90 alias motion buiider 6 professionai  $ 30 quicken 2004 premier home & biz  $ 30 adobe photoshop elements 3 . 0  $ 110 adobe premiere pro 7 . 0  learn more . . .  sincerely ,  toni",964
0.0,s but mostly not like that.,27
0.0,no prob. i will send to your email.,35
1.0,"all graphics software available , cheap oem versions .  good morning ,  we we offer latest oem packages of all graphics and publishinq software from corel , macromedia , adobe and others .  $ 80 adobe photoshop 8 . 0 / cs  $ 140 macromedia studio mx 2004  $ 120 adobe acrobat 7 . 0 professionai  $ 150 adobe premiere pro 1 . 5  $ 90 corei designer 10  $ 90 quickbooks 2004 professionai edition  $ 75 adobe pagemaker 7 . 0  $ 70 xara x vl . 1  $ 75 adobe audition 1 . 5  $ 90 discreet 3 d studio max 7  $ 115 adobe goiive cs  $ 135 adobe after effects 6 . 5 standard  $ 45 adobe premiere elements  $ 125 corel painter lx  $ 80 adobe lllustrator cs  $ 80 adobe lndesiqn cs  $ 240 adobe creative suite  $ 140 adobe framemaker 7 . 1  $ 50 ulead cooi 3 d production studio 1 . 0 . 1  $ 90 alias motion buiider 6 professionai  $ 30 quicken 2004 premier home & biz  $ 30 adobe photoshop elements 3 . 0  $ 110 adobe premiere pro 7 . 0  learn more . . .  sincereiy ,  chantell",968
0.0,oh... kay... on sat right?,26
0.0,"re : seismic data on oil & gas field development via satellite  there may be a business opportunity with this company , but i would not advise  making an investment .  kevin garland  richard reichardt  10 / 10 / 00 12 : 30 pm  to : mike mcconnell / hou / ect @ ect  cc : larry lawyer / enron communications @ enron communications , tom gros / enron  communications @ enron communications , vince j kaminski / hou / ect @ ect , kevin  garland / enron communications @ enron communications , richard dimichele / enron  communications @ enron communications , ken rice / enron communications @ enron  communications  subject : seismic data on oil & gas field development via satellite  mike ,  using nasa satellite transmission of maritime data and establishing a houston  data center to consolidate and centrally process 3 d seismic data surveys for  oil and gas extraction , exploration and development could save the petroleum  industry more than $ 300 million dollars annually through reduced operational  expenses . added value in shortening the time to process and deliver the  finished surveys should generate more than $ 26 million per site ( based upon  $ 15 / barrel for average oil well production to market 30 days sooner ) in  revenue . by re - selling this data to market analysts or by internally using  this data for forecasting future oil / gas production enron could increase the  accuracy of forecasting reserves and production capabilities globally . by  holding the data as exclusive ( or partially exclusive ) , enron would have a  significant market advantage in futures pricing for oil and gas . ( vince ' s team  is quantifying the valuation of this information )  attached please find an updated version of the business case for seismic data  transfer via satellite , by a geophysicist at spacedata - william k . aylor ,  calculated using $ 22 / barrel oil .  based upon your availability , jon adler and i would like to make a  presentation to you ( or your designated representative ) on the enron  potential of this opportunity , sometime next week ( 17 - 20 october ) .  - sdt business case 4 . pdf  v . r . ,  richard reichardt  enron broadband services  ( 713 ) - 345 - 8377 ( office )  ( 713 ) - 907 - 3767 ( mobile )  1400 smith street , suite eb 4364  houston , texas 77002",2305
0.0,"no, i decided that only people who care about stuff vote and caring about stuff is for losers",93
0.0,wat u doing there?,18
0.0,what not under standing.,24
0.0,btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,114
0.0,"oh really? perform, write a paper, go to a movie and be home by midnight, huh?",78
0.0,your daily text from me ûò a favour this time,46
1.0,"the best investments  otc  newsletter  discover tomorrow ' s winners  for immediate release  cal - bay ( stock symbol : cbyi )  watch for analyst "" strong buy recommendations "" and several advisory newsletters picking cbyi . cbyi has filed to be traded on the otcbb , share prices historically increase when companies get listed on this larger trading exchange . cbyi is trading around 25 cents and should skyrocket to $ 2 . 66 - $ 3 . 25 a share in the near future .  put cbyi on your watch list , acquire a position today .  reasons to invest in cbyi  a profitable company and is on track to beat all earnings estimates !  one of the fastest growing distributors in environmental safety equipment instruments .  excellent management team , several exclusive contracts . impressive client list including the u . s . air force , anheuser - busch , chevron refining and mitsubishi heavy industries , ge - energy environmental research .  rapidly growing industry  industry revenues exceed $ 900 million , estimates indicate that there could be as much as $ 25 billion from "" smell technology "" by the end of 2003 .  ! ! ! ! ! congratulations ! ! ! ! ! our last recommendation to buy orbt at $ 1 . 29 rallied and is holding steady at $ 3 . 50 ! congratulations to all our subscribers that took advantage of this recommendation .  all removes honored . please allow 7 days to be removed and send all addresses to :  goneforgood @ btamail . net . cn  certain statements contained in this news release may be forward - looking statements within the meaning of the private securities litigation reform act of 1995 . these statements may be identified by such terms as "" expect "" , "" believe "" , "" may "" , "" will "" , and "" intend "" or similar terms . we are not a registered investment advisor or a broker dealer . this is not an offer to buy or sell securities . no recommendation that the securities of the companies profiled should be purchased , sold or held by individuals or entities that learn of the profiled companies . we were paid $ 27 , 000 in cash by a third party to publish this report . investing in companies profiled is high - risk and use of this information is for reading purposes only . if anyone decides to act as an investor , then it will be that investor ' s sole risk . investors are advised not to invest without the proper advisement from an attorney or a registered financial broker . do not rely solely on the information presented , do additional independent research to form your own opinion and decision regarding investing in the profiled companies . be advised that the purchase of such high - risk securities may result in the loss of your entire investment . not intended for recipients or residents of ca , co , ct , de , id , il , ia , la , mo , nv , nc , ok , oh , pa , ri , tn , va , wa , wv , wi . void where prohibited . the owners of this publication may already own free trading shares in cbyi and may immediately sell all or a portion of these shares into the open market at or about the time this report is published . factual statements are made as of the date stated and are subject to change without notice .  copyright c 2001  otc  * * * *",3184
0.0,"hi, mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com it s a great place to send free sms to people for more visit fullonsms.com",158
0.0,why are u up so early?,22
0.0,what i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,113
0.0,so u wan 2 come for our dinner tonight a not?,45
0.0,"ha. you donû÷t know either. i did a a clever but simple thing with pears the other day, perfect for christmas.",111
0.0,hi dear we saw dear. we both are happy. where you my battery is low,67
0.0,i'm in inside office..still filling forms.don know when they leave me.,70
0.0,yup. izzit still raining heavily cos i'm in e mrt i can't c outside.,68
0.0,"ibuyit form  attached please find the completed form for vince kaminski , managing  director , research group .  he will be approving all purchases for cost center 107043 .  - - - - - - - - - - - - - - - - - - - - - - forwarded by shirley crenshaw / hou / ect on 04 / 19 / 2001  02 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  from : debbie skinner / enron @ enronxgate on 04 / 19 / 2001 02 : 52 pm  to : shirley crenshaw / houston / eott @ eott , shirley crenshaw / hou / ect @ ect  cc :  subject : ibuyit form  hi shirley  there were two shirleys , so sending to both  isc help desk",602
0.0,ha ha ha good joke. girls are situation seekers.,48
1.0,free for 1st week! no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates www.getzed.co.uk pobox 36504 w45wq norm150p/tone 16+,158
1.0,"449050000301 you have won a å£2,000 price! to claim, call 09050000301.",70
1.0,u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09065171142-stopsms-08,143
0.0,eat jap done oso aft ur lect wat... ìï got lect at 12 rite...,62
1.0,"play full length movies on your pc  to ensure delivery to your inbox ( not bulk or junk folders ) , please add news @ real - email . net to your address book .  only  $ 12 . 95 per month after your free trial .  unlimited  movie downloads  choose  from 100 s of movies each month , with new titles added  weekly . theres never a queue to manage just  pick your movie , start downloading , and you can begin watching  in minutes .  no hidden charges , no late fees , nothing to mail back .  watch at home or on the go , as often as you want .  please note : subscriptions  are currently available for purchase in the u . s . only . a  300 kbps broadband connection is required .  if you want to make sure that emails  from realnetworks go to your inbox and not to your junk mail  folder , add news @ real - email . net to  your address book .  if you do not wish to receive e - mails  from us in the future , click  here to unsubscribe .  have questions regarding our email privacy policy ?  contact us at :  email privacy policy group  realnetworks , inc .  p . o . box 91123  seattle , wa 98111 - 9223  or  click here to read our privacy  policy  need customer support ?  contact us at :  http : / / service . real . com  2005  realnetworks , inc . patents pending . all rights reserved .  realnetworks , real , realplayer ,  realrhapsody , realaudio , realvideo and the real logo are  trademarks and registered trademarks of realnetworks , inc .  all other trademarks are property of their respective owners .  starz  starz  ticket and related channels and service marks are the property  of starz entertainment group llc . all  other trademarks are the property of their respective owners .  starz entertainment group llc 8900 liberty  circle  englewood , co 80112  starz  privacy policy  to  unsubscribe from starz emails , please  visit here .",1849
0.0,babe !!!! i love you !!!! *covers your face in kisses*,54
0.0,so how's the weather over there?,32
0.0,haiyoh... maybe your hamster was jealous of million,51
0.0,"haven't found a way to get another app for your phone, eh ? will you go to the net cafe ? did you take that job? geeee i need you babe. i crave to see you ...",158
0.0,it's justbeen overa week since we broke up and already our brains are going to mush!,84
0.0,all will come alive.better correct any good looking figure there itself..,73
0.0,"focus group invitation - supervisors  charlene , karen :  vince asked me to let you know that he will be unable to attend the lunch  on friday , september 8 th . he has a previous engagement that he cannot  miss . i tried contacting constance charles , but her voice mail box was  full .  thanks .  shirley crenshaw  administrative coordinator",343
0.0,i just saw ron burgundy captaining a party boat so yeah,55
0.0,yo yo yo byatch whassup?,24
0.0,draw va?i dont think so:),25
0.0,"okay. no no, just shining on. that was meant to be signing, but that sounds better.",83
1.0,freemsg:feelin kinda lnly hope u like 2 keep me company! jst got a cam moby wanna c my pic?txt or reply date to 82242 msg150p 2rcv hlp 08712317606 stop to 82242,160
0.0,leave it. u will always be ignorant.,36
0.0,"got fujitsu, ibm, hp, toshiba... got a lot of model how to say...",65
0.0,"sorry, i'll call later",22
1.0,"outstanding opportunities for "" premier producers ""  for a confidential phone interview please complete form submit  name :  e - mail :  phone :  city :  state :  area of interest :  full - time agent  sales manager  general agent  cpa partner  independent agent  we  don ' t want anybody to receive or mailing who does not wish to  receive them . this is professional communication sent to insurance  professionals . to be removed from this mailing list , do not reply  to this message . instead , go here : http : / / www . insurancemail . net  legal notice",560
0.0,dont know supports ass and srt i thnk. i think ps3 can play through usb too,75
1.0,want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk's largest dogging network bt txting gravel to 69888! nt. ec2a. 31p.msg@150p,162
0.0,the basket's gettin full so i might be by tonight,49
1.0,"up to $ 1 , 500 . 00 part time 22311  check out our $ 1 , 000 . 00 internet challenge !  \ tab \ tab \ ' b 7 what if you could have a protected job that allows you to work as  little as two hours a week and it still pays you up to $ 800 . 00 every week for the next 20 years ? well - here it is ! take our $ 1 , 000 . 00 online challenge !  \ tab \ tab  \ tab \ tab  \ tab \ tab check it out  \ tab \ tab \ tab  \ tab \ tab \ tab  \ tab \ tab \ tab  \ tab \ tab  the sender of this message has stated its assurance that the sender complies with all state guidelines and codes regarding uce . this transmittal is specifically not intended for residents of the state of washington . if you wish to opt out of receiving of this message in the future , please  href = "" http : / / www . bti - marketing . net / remove . html "" > click here and enter your email address . thanks for your positive assistance .",905
0.0,"i av a new number,  . wil u only use this one,ta.",49
0.0,"oh yeah,and hav a great time in newquay-send me a postcard !1 look after all the girls while im gone(u know the 1im talkin bout!)xx",131
0.0,those cocksuckers. if it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,133
0.0,everybody had fun this evening. miss you.,41
1.0,software store  http : / / infinity . realoemsales . com / ? a = 3107,69
1.0,"returned mail : see transcript for details  the original message was received at tue , 19 jul 2005 10 : 58 : 37 gmt  from [ 211 . 245 . 27 . 66 ]  - - - - - the following addresses had permanent fatal errors - - - - -  ( reason : 550 5 . 1 . 1 user unknown )  - - - - - transcript of session follows - - - - -  . . . while talking to localhost :  > > > data  . . . user unknown  < < < 503 5 . 5 . 1 no recipients",412
1.0,"localized software , all languages available .  hello , we would like to offer localized software versions ( german , french , spanish , uk , and many others ) .  ali iisted software is avaiiabie for immediate download !  no need to wait 2 - 3 week for cd delivery !  just few examples :  - norton lnternet security pro 2005 - $ 29 . 95  - windows xp professionai with sp 2 fuli version - $ 59 . 95  - corel draw graphics suite 12 - $ 49 . 95  - dreamweaver mx 2004 ( homesite 5 . 5 inciudinq ) - $ 39 . 95  - macromedia studio mx 2004 - $ 119 . 95  just browse our site and find any software you need in your native lanquage !  best regards ,  margarette",656
0.0,carlos says he'll be at mu in  &lt;#&gt;  minutes,49
0.0,am also doing in cbe only. but have to pay.,43
0.0,"okey dokey, iû÷ll be over in a bit just sorting some stuff out.",64
0.0,thanks for the temales it was wonderful. thank. have a great week.,66
1.0,"your account has been credited with 500 free text messages. to activate, just txt the word: credit to no: 80488 t&cs www.80488.biz",130
1.0,". message report from your contact page . . . . / / ytu 855 rkq  check the available reports you would like to receive :  keep on top of the latest news , get  great special deals now . . .  it is complimentary , it costs nothing , you can quit anytime !  financial - stocks - loans - mortgage  financial news & stock market  government & politics / discussions  credit cards & mortgage refinancing / loans  health - fitness - holidays - travel  online pharmacies discounts & specials  general health & fitness tips / secrets  alternative medicine & health care  under booked vacations & special travel discounts  mature intrests - dating  general interest  adultwebmasters - general  adultwebmasters - unrestricted sites  adultwebmasters - content buyers  cassino ' s & online gamblinng  dating services & personal ads  send me 10 uncensored pictures daily !  this mail is never sent unsolicited , got it by error ? [ click here ] to be removed from our subscribers list !  ndtxcpfjspwwtrkaxnxg",995
0.0,no i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans,109
1.0,"protect your family ' s future and save up to 70 %  10 - year  level  term life insurance  male / female  monthly premiums  no nicotine  $ 250 , 000  $ 500 , 000  age  male  female  male  female  35  $ 10 . 33  $ 9 . 19  $ 16 . 19  $ 14 . 00  40  $ 13 . 30  $ 11 . 64  $ 22 . 32  $ 18 . 82  45  $ 19 . 43  $ 16 . 63  $ 35 . 57  $ 22 . 88  50  $ 29 . 49  $ 22 . 32  $ 54 . 69  $ 40 . 25  55  $ 44 . 89  $ 32 . 12  $ 85 . 32  $ 59 . 94  2002 reliaquote . all rights reserved  life  can change in an instant . don ' t wait until it ' s too late . give  your family the security they deserve today with affordable  term life insurance from reliaquote .  to unsubscribe from our  mailing list , please click  here",709
0.0,really dun bluff me leh... u sleep early too. nite...,53
1.0,win a year supply of cds 4 a store of ur choice worth å£500 & enter our å£100 weekly draw txt music to 87066 ts&cs www.ldew.com.subs16+1win150ppmx3,147
